pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,600,vlan100,10.10.40.5,939.0,0,1.15,4.66,yes,ok
pi5-pair,vlan,cell-02,tcp,1,600,vlan100,10.10.40.5,939.0,0,1.19,4.66,yes,ok
pi5-pair,vlan,cell-03,udp,0,600,vlan100,10.10.40.5,944.8,41,3.37,10.41,yes,ok
pi5-pair,vlan,cell-04,udp,1,600,vlan100,10.10.40.5,944.8,0,3.40,10.41,yes,ok
pi5-pair,qinq,cell-01,tcp,0,600,cvlan100,10.10.41.5,936.2,0,0.98,5.38,yes,ok
pi5-pair,qinq,cell-02,tcp,1,600,cvlan100,10.10.41.5,936.2,0,0.96,5.37,yes,ok
pi5-pair,qinq,cell-03,udp,0,600,cvlan100,10.10.41.5,941.9,0,2.92,11.95,yes,ok
pi5-pair,qinq,cell-04,udp,1,600,cvlan100,10.10.41.5,941.9,23,2.88,11.96,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,600,vxlan10,192.168.100.2,908.9,0,1.20,5.32,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,600,vxlan10,192.168.100.2,908.9,0,1.18,5.31,yes,ok
pi5-pair,vxlan,cell-03,udp,0,600,vxlan10,192.168.100.2,911.8,0,3.44,15.39,yes,ok
pi5-pair,vxlan,cell-04,udp,1,600,vxlan10,192.168.100.2,911.8,0,3.45,15.40,yes,ok
pi5-pair,mpls,cell-01,tcp,0,600,lo,10.10.43.5,938.8,0,7.84,15.90,yes,ok
pi5-pair,mpls,cell-02,tcp,1,600,lo,10.10.43.5,938.8,0,7.82,15.88,yes,ok
pi5-pair,mpls,cell-03,udp,0,600,lo,10.10.43.5,944.8,23,3.25,11.76,yes,ok
pi5-pair,mpls,cell-04,udp,1,600,lo,10.10.43.5,944.8,0,3.23,11.76,yes,ok
pi5-pair,ipip,cell-01,tcp,0,600,ipip0,10.10.42.5,928.4,0,0.95,5.45,yes,ok
pi5-pair,ipip,cell-02,tcp,1,600,ipip0,10.10.42.5,928.4,0,1.02,5.45,yes,ok
pi5-pair,ipip,cell-03,udp,0,600,ipip0,10.10.42.5,933.1,2,3.22,13.92,yes,ok
pi5-pair,ipip,cell-04,udp,1,600,ipip0,10.10.42.5,933.1,6,3.20,13.93,yes,ok
hp1-hp3,vlan,cell-01,tcp,0,600,vlan100,10.10.40.5,18135.7,71485,34.33,10.15,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,600,vlan100,10.10.40.5,18069.2,80098,37.54,9.73,yes,ok
hp1-hp3,vlan,cell-03,udp,0,600,vlan100,10.10.40.5,6999.8,0,22.82,0.06,yes,ok
hp1-hp3,vlan,cell-04,udp,1,600,vlan100,10.10.40.5,6972.3,0,22.78,0.07,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,600,cvlan100,10.10.41.5,17368.4,98740,40.25,11.56,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,600,cvlan100,10.10.41.5,16845.1,128598,36.60,12.30,yes,ok
hp1-hp3,qinq,cell-03,udp,0,600,cvlan100,10.10.41.5,5814.5,0,23.07,0.06,yes,ok
hp1-hp3,qinq,cell-04,udp,1,600,cvlan100,10.10.41.5,5745.3,0,22.99,0.05,yes,ok
hp1-hp3,vxlan,cell-01,tcp,0,600,vxlan10,192.168.100.2,16687.4,104396,26.55,12.27,yes,ok
hp1-hp3,vxlan,cell-02,tcp,1,600,vxlan10,192.168.100.2,16831.0,122506,21.63,14.14,yes,ok
hp1-hp3,vxlan,cell-03,udp,0,600,vxlan10,192.168.100.2,5730.3,0,16.12,7.66,yes,ok
hp1-hp3,vxlan,cell-04,udp,1,600,vxlan10,192.168.100.2,5747.9,0,16.08,7.70,yes,ok
hp1-hp3,mpls,cell-01,tcp,0,600,lo,10.10.43.5,17051.7,98259,20.50,11.64,yes,ok
hp1-hp3,mpls,cell-02,tcp,1,600,lo,10.10.43.5,18866.0,64034,17.23,18.19,yes,ok
hp1-hp3,mpls,cell-03,udp,0,600,lo,10.10.43.5,6481.9,0,4.70,9.33,yes,ok
hp1-hp3,mpls,cell-04,udp,1,600,lo,10.10.43.5,6488.7,0,4.91,9.39,yes,ok
hp1-hp3,ipip,cell-01,tcp,0,600,ipip0,10.10.42.5,11316.3,808,19.72,5.38,yes,ok
hp1-hp3,ipip,cell-02,tcp,1,600,ipip0,10.10.42.5,11158.9,3116,20.46,4.88,yes,ok
hp1-hp3,ipip,cell-03,udp,0,600,ipip0,10.10.42.5,6522.4,0,16.50,7.10,yes,ok
hp1-hp3,ipip,cell-04,udp,1,600,ipip0,10.10.42.5,6863.8,0,16.34,7.28,yes,ok
hp2-hp5,vlan,cell-01,tcp,0,600,vlan100,10.10.40.5,9386.7,143357,24.26,2.36,yes,ok
hp2-hp5,vlan,cell-02,tcp,1,600,vlan100,10.10.40.5,9388.8,67716,24.45,2.10,yes,ok
hp2-hp5,vlan,cell-03,udp,0,600,vlan100,10.10.40.5,7245.4,0,22.88,1.44,yes,ok
