time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260612020504.546481,172.16.40.122,0,172.16.40.174,5001,-1,7.0,8.0,117571584,940572672,897,0,0,3905805257111764992,0,0,0
-0700:20260612020505.546481,172.16.40.122,54944,172.16.40.174,5001,4,8.0,9.0,29229056,233832448,223,0,0,207,147,4241,137
-0700:20260612020505.546481,172.16.40.122,54948,172.16.40.174,5001,1,8.0,9.0,29360128,234881024,224,0,0,258,183,4297,116
-0700:20260612020505.546482,172.16.40.122,54942,172.16.40.174,5001,2,8.0,9.0,29360128,234881024,224,0,0,264,187,4240,156
-0700:20260612020505.546574,172.16.40.122,54946,172.16.40.174,5001,3,8.0,9.0,29622272,236978176,226,0,0,353,250,4311,137
-0700:20260612020505.546481,172.16.40.122,0,172.16.40.174,5001,-1,8.0,9.0,117571584,940572672,897,0,0,3905805257111764992,0,0,0
-0700:20260612020506.546481,172.16.40.122,54948,172.16.40.174,5001,1,9.0,10.0,28704768,229638144,219,0,0,258,183,4282,114
-0700:20260612020506.546481,172.16.40.122,54944,172.16.40.174,5001,4,9.0,10.0,29622272,236978176,226,0,0,207,147,4293,127
-0700:20260612020506.546482,172.16.40.122,54942,172.16.40.174,5001,2,9.0,10.0,29229056,233832448,223,0,0,264,187,4266,162
-0700:20260612020506.546574,172.16.40.122,54946,172.16.40.174,5001,3,9.0,10.0,29622272,236978176,226,0,0,353,250,4293,148
-0700:20260612020506.546481,172.16.40.122,0,172.16.40.174,5001,-1,9.0,10.0,117178368,937426944,894,0,0,3905805257111764992,0,0,0
-0700:20260612020507.546481,172.16.40.122,54948,172.16.40.174,5001,1,10.0,11.0,29360128,234881024,224,0,0,258,183,4266,126
-0700:20260612020507.546481,172.16.40.122,54944,172.16.40.174,5001,4,10.0,11.0,29229056,233832448,223,0,0,207,147,4251,121
-0700:20260612020507.546574,172.16.40.122,54946,172.16.40.174,5001,3,10.0,11.0,28966912,231735296,221,0,0,353,250,4293,147
-0700:20260612020507.546482,172.16.40.122,54942,172.16.40.174,5001,2,10.0,11.0,29360128,234881024,224,0,0,264,187,4295,145
-0700:20260612020507.546481,172.16.40.122,0,172.16.40.174,5001,-1,10.0,11.0,116916224,935329792,892,0,0,3905805257111764992,0,0,0
-0700:20260612020508.546481,172.16.40.122,54948,172.16.40.174,5001,1,11.0,12.0,29360128,234881024,224,0,0,258,183,4269,118
-0700:20260612020508.546481,172.16.40.122,54944,172.16.40.174,5001,4,11.0,12.0,29229056,233832448,223,0,0,207,147,4261,141
-0700:20260612020508.546482,172.16.40.122,54942,172.16.40.174,5001,2,11.0,12.0,28835840,230686720,220,0,0,264,187,4297,126
-0700:20260612020508.546574,172.16.40.122,54946,172.16.40.174,5001,3,11.0,12.0,28966912,231735296,221,0,0,353,250,4324,138
-0700:20260612020508.546481,172.16.40.122,0,172.16.40.174,5001,-1,11.0,12.0,116391936,931135488,888,0,0,3905805257111764992,0,0,0
-0700:20260612020509.546481,172.16.40.122,54948,172.16.40.174,5001,1,12.0,13.0,29229056,233832448,223,0,0,258,183,4310,106
-0700:20260612020509.546482,172.16.40.122,54942,172.16.40.174,5001,2,12.0,13.0,29229056,233832448,223,0,0,264,187,4240,149
-0700:20260612020509.546481,172.16.40.122,54944,172.16.40.174,5001,4,12.0,13.0,29229056,233832448,223,0,0,207,147,4318,116
-0700:20260612020509.546574,172.16.40.122,54946,172.16.40.174,5001,3,12.0,13.0,29622272,236978176,226,0,0,353,250,4416,197
-0700:20260612020509.546481,172.16.40.122,0,172.16.40.174,5001,-1,12.0,13.0,117309440,938475520,895,0,0,3905805257111764992,0,0,0
-0700:20260612020510.546481,172.16.40.122,54948,172.16.40.174,5001,1,13.0,14.0,29360128,234881024,224,0,0,258,183,4249,135
-0700:20260612020510.546481,172.16.40.122,54944,172.16.40.174,5001,4,13.0,14.0,29229056,233832448,223,0,0,207,147,4241,118
-0700:20260612020510.546482,172.16.40.122,54942,172.16.40.174,5001,2,13.0,14.0,29360128,234881024,224,0,0,264,187,4325,146
-0700:20260612020510.546574,172.16.40.122,54946,172.16.40.174,5001,3,13.0,14.0,28966912,231735296,221,0,0,353,250,4292,152
-0700:20260612020510.546481,172.16.40.122,0,172.16.40.174,5001,-1,13.0,14.0,116916224,935329792,892,0,0,3905805257111764992,0,0,0
-0700:20260612020511.546481,172.16.40.122,54948,172.16.40.174,5001,1,14.0,15.0,29360128,234881024,224,0,0,258,183,4316,120
-0700:20260612020511.546481,172.16.40.122,54944,172.16.40.174,5001,4,14.0,15.0,29229056,233832448,223,0,0,207,147,4281,142
-0700:20260612020511.546482,172.16.40.122,54942,172.16.40.174,5001,2,14.0,15.0,29360128,234881024,224,0,0,264,187,4291,147
-0700:20260612020511.546574,172.16.40.122,54946,172.16.40.174,5001,3,14.0,15.0,29753344,238026752,227,0,0,353,250,4324,133
-0700:20260612020511.546481,172.16.40.122,0,172.16.40.174,5001,-1,14.0,15.0,117702656,941621248,898,0,0,3905805257111764992,0,0,0
-0700:20260612020512.546481,172.16.40.122,54944,172.16.40.174,5001,4,15.0,16.0,29229056,233832448,223,0,0,207,147,4276,133
-0700:20260612020512.546574,172.16.40.122,54946,172.16.40.174,5001,3,15.0,16.0,28966912,231735296,221,0,0,353,250,4335,146
-0700:20260612020512.546481,172.16.40.122,54948,172.16.40.174,5001,1,15.0,16.0,29360128,234881024,224,0,0,258,183,4286,112
-0700:20260612020512.546482,172.16.40.122,54942,172.16.40.174,5001,2,15.0,16.0,29360128,234881024,224,0,0,264,187,4247,156
-0700:20260612020512.546481,172.16.40.122,0,172.16.40.174,5001,-1,15.0,16.0,116916224,935329792,892,0,0,3905805257111764992,0,0,0
