pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,kernel_has_sysctl,status
hp1-hp3,geneve,cell-03,udp,0,420,geneve10,192.168.101.2,6223.7,0,15.85,7.90,yes,ok
hp1-hp3,geneve,cell-04,udp,1,420,geneve10,192.168.101.2,6100.4,0,16.09,7.64,yes,ok
hp2-hp5,vlan,cell-01,tcp,0,420,vlan100,10.10.40.5,9387.5,83700,24.20,2.17,yes,ok
hp2-hp5,vlan,cell-02,tcp,1,420,vlan100,10.10.40.5,9387.4,68668,24.44,1.99,yes,ok
hp2-hp5,vlan,cell-03,udp,0,420,vlan100,10.10.40.5,7092.9,0,22.83,1.34,yes,ok
hp2-hp5,vlan,cell-04,udp,1,420,vlan100,10.10.40.5,7094.7,0,22.81,1.33,yes,ok
hp2-hp5,qinq,cell-01,tcp,0,420,cvlan100,10.10.41.5,8752.1,22263,29.29,0.35,yes,ok
hp2-hp5,qinq,cell-02,tcp,1,420,cvlan100,10.10.41.5,8762.1,22144,29.29,0.30,yes,ok
hp2-hp5,qinq,cell-03,udp,0,420,cvlan100,10.10.41.5,5765.8,0,22.81,0.12,yes,ok
hp2-hp5,qinq,cell-04,udp,1,420,cvlan100,10.10.41.5,5839.5,0,22.93,0.11,yes,ok
hp2-hp5,vxlan,cell-01,tcp,0,420,vxlan10,192.168.100.2,9086.6,106544,20.67,6.29,yes,ok
hp2-hp5,vxlan,cell-02,tcp,1,420,vxlan10,192.168.100.2,9088.3,37657,20.85,6.16,yes,ok
hp2-hp5,vxlan,cell-03,udp,0,420,vxlan10,192.168.100.2,5962.5,0,18.29,8.27,yes,ok
hp2-hp5,vxlan,cell-04,udp,1,420,vxlan10,192.168.100.2,6022.1,0,18.03,8.01,yes,ok
hp2-hp5,mpls,cell-01,tcp,0,420,lo,10.10.43.5,9386.4,86992,8.63,11.79,yes,ok
hp2-hp5,mpls,cell-02,tcp,1,420,lo,10.10.43.5,9387.5,45980,8.43,11.65,yes,ok
hp2-hp5,mpls,cell-03,udp,0,420,lo,10.10.43.5,6579.2,0,4.56,8.98,yes,ok
hp2-hp5,mpls,cell-04,udp,1,420,lo,10.10.43.5,6591.1,0,3.83,8.99,yes,ok
hp2-hp5,ipip,cell-01,tcp,0,420,ipip0,10.10.42.5,9273.6,62782,22.21,6.53,yes,ok
hp2-hp5,ipip,cell-02,tcp,1,420,ipip0,10.10.42.5,9271.4,79863,22.24,6.73,yes,ok
hp2-hp5,ipip,cell-03,udp,0,420,ipip0,10.10.42.5,7116.1,0,18.34,8.09,yes,ok
hp2-hp5,ipip,cell-04,udp,1,420,ipip0,10.10.42.5,7138.0,0,18.02,7.75,yes,ok
hp2-hp5,gre,cell-01,tcp,0,420,gretest0,10.10.44.5,9246.8,79794,20.80,6.70,yes,ok
hp2-hp5,gre,cell-02,tcp,1,420,gretest0,10.10.44.5,9246.2,76103,22.99,7.19,yes,ok
hp2-hp5,gre,cell-03,udp,0,420,gretest0,10.10.44.5,7062.6,0,18.34,8.09,yes,ok
hp2-hp5,gre,cell-04,udp,1,420,gretest0,10.10.44.5,7074.8,0,18.11,7.72,yes,ok
hp2-hp5,geneve,cell-01,tcp,0,420,geneve10,192.168.101.2,9087.1,88219,20.90,6.10,yes,ok
hp2-hp5,geneve,cell-02,tcp,1,420,geneve10,192.168.101.2,9085.8,70613,20.66,5.86,yes,ok
hp2-hp5,geneve,cell-03,udp,0,420,geneve10,192.168.101.2,6266.8,0,17.99,8.73,yes,ok
hp2-hp5,geneve,cell-04,udp,1,420,geneve10,192.168.101.2,6251.0,0,17.75,8.57,yes,ok
