pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,kernel_has_sysctl,status
hp1-hp3,vlan,cell-01,tcp,0,10,vlan100,10.10.40.5,18262.1,837,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,10,vlan100,10.10.40.5,18179.7,3826,yes,ok
hp1-hp3,vlan,cell-03,udp,0,10,vlan100,10.10.40.5,6979.5,0,yes,ok
hp1-hp3,vlan,cell-04,udp,1,10,vlan100,10.10.40.5,7114.6,0,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,10,cvlan100,10.10.41.5,0.0,20,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,10,cvlan100,10.10.41.5,0.0,20,yes,ok
hp1-hp3,qinq,cell-03,udp,0,10,cvlan100,10.10.41.5,5820.1,0,yes,ok
hp1-hp3,qinq,cell-04,udp,1,10,cvlan100,10.10.41.5,5945.8,0,yes,ok
