=== mlx5 iperf2 soak — Thu May 28 12:55:30 PM PDT 2026 ===
GEN=hp1 DUT=hp3 DEV=enp1s0f0np0 BW=25Gbit DURATION=86400s
tuned
tuned
iperf2 server listening on hp3:5202 (ssh PID 3891478)

=== rolling iperf2 sessions (300s each, -P 16) ===
run gbits ts
246 16.533 1780073184
247 16.294 1780073489
[hour 21] 470977 3691 8 8
248 16.070 1780073794
249 16.712 1780074099
250 15.719 1780074404
251 15.930 1780074709
252 16.023 1780075014
253 16.387 1780075319
254 15.908 1780075624
255 15.767 1780075929
256 16.234 1780076234
257 16.151 1780076540
258 16.541 1780076845
259 16.221 1780077150
[hour 22] 491796 3695 8 8
260 16.257 1780077455
261 16.179 1780077760
262 16.416 1780078065
263 15.523 1780078370
264 16.413 1780078675
265 16.596 1780078981
266 16.075 1780079286
267 16.263 1780079591
268 16.244 1780079896
269 16.250 1780080201
270 16.145 1780080506
271 16.389 1780080811
[hour 23] 512843 3690 8 8
272 15.914 1780081117
273 16.425 1780081422
274 16.371 1780081727
275 16.200 1780082032
276 16.138 1780082337
277 16.892 1780082642
278 16.165 1780082947
279 16.201 1780083252
280 16.269 1780083557
281 16.206 1780083862
282 15.854 1780084167
283 16.390 1780084472
[hour 24] 535294 3696 8 8
284 16.295 1780084777
=== soak ended Fri May 29 12:59:42 PM PDT 2026 ===
