=== iperf3 soak (hp2-hp5-x710) — Thu May 28 12:52:23 PM PDT 2026 ===
GEN=hp2  DUT=hp5  DEV=enp1s0f0np0  BW=10Gbit  DURATION=86400s
hp2: TCP tuned
hp5: TCP tuned
33240 bash -c          tc qdisc replace dev enp1s0f0np0 root cake bandwidth 10Gbit triple-isolate         pkill iperf3 2>/dev/null; sleep 1         nix run nixpkgs#iperf3 -- -s -B 10.10.0.5 -p 5201 -D         sleep 2         pgrep -af iperf3 | head -2       
33257 /nix/store/rk0cy00y45dxx7wq0m5v88qapz077blx-iperf-3.20/bin/iperf3 -s -B 10.10.0.5 -p 5201 -D

=== rolling iperf3 sessions (300 s each, -P 16) ===
run gbits retx ts
219 parse-failed 1780065902
220 parse-failed 1780066213
221 parse-failed 1780066523
222 parse-failed 1780066833
223 parse-failed 1780067144
224 parse-failed 1780067454
225 parse-failed 1780067764
226 parse-failed 1780068074
227 parse-failed 1780068385
228 parse-failed 1780068695
229 parse-failed 1780069006
230 parse-failed 1780069316
231 parse-failed 1780069626
232 parse-failed 1780069937
233 parse-failed 1780070247
234 parse-failed 1780070557
235 parse-failed 1780070868
236 parse-failed 1780071178
237 parse-failed 1780071488
238 parse-failed 1780071799
239 parse-failed 1780072109
240 parse-failed 1780072419
241 parse-failed 1780072730
242 parse-failed 1780073040
243 parse-failed 1780073350
244 parse-failed 1780073660
245 parse-failed 1780073971
246 parse-failed 1780074281
247 parse-failed 1780074591
248 parse-failed 1780074902
249 parse-failed 1780075212
250 parse-failed 1780075522
251 parse-failed 1780075833
252 parse-failed 1780076143
253 parse-failed 1780076453
254 parse-failed 1780076764
255 parse-failed 1780077074
256 parse-failed 1780077384
257 parse-failed 1780077695
258 parse-failed 1780078005
259 parse-failed 1780078315
260 parse-failed 1780078626
261 parse-failed 1780078936
262 parse-failed 1780079246
263 parse-failed 1780079557
264 parse-failed 1780079867
265 parse-failed 1780080177
266 parse-failed 1780080488
267 parse-failed 1780080798
268 parse-failed 1780081108
269 parse-failed 1780081419
270 parse-failed 1780081729
271 parse-failed 1780082039
272 parse-failed 1780082350
273 parse-failed 1780082660
274 parse-failed 1780082970
275 parse-failed 1780083281
276 parse-failed 1780083591
277 parse-failed 1780083901
278 parse-failed 1780084212
279 parse-failed 1780084522
