time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260611050700.990442,172.16.40.122,39354,172.16.40.174,5001,4,0.0,1.0,30539840,244318720,234,0,0,224,159,4281,168
-0700:20260611050700.990373,172.16.40.122,39364,172.16.40.174,5001,3,0.0,1.0,30408768,243270144,233,0,0,216,153,4214,129
-0700:20260611050700.990373,172.16.40.122,39332,172.16.40.174,5001,2,0.0,1.0,30670912,245367296,235,0,0,192,136,4233,128
-0700:20260611050700.990374,172.16.40.122,39330,172.16.40.174,5001,1,0.0,1.0,29098048,232784384,223,0,0,165,117,4670,628
-0700:20260611050700.990373,172.16.40.122,0,172.16.40.174,5001,-1,0.0,1.0,120717568,965740544,925,0,0,4123386547980468224,0,0,0
-0700:20260611050701.990442,172.16.40.122,39354,172.16.40.174,5001,4,1.0,2.0,29622272,236978176,226,0,0,224,159,4309,149
-0700:20260611050701.990373,172.16.40.122,39332,172.16.40.174,5001,2,1.0,2.0,29229056,233832448,223,0,0,210,149,4262,136
-0700:20260611050701.990373,172.16.40.122,39364,172.16.40.174,5001,3,1.0,2.0,29753344,238026752,227,0,0,216,153,4258,128
-0700:20260611050701.990374,172.16.40.122,39330,172.16.40.174,5001,1,1.0,2.0,29360128,234881024,224,0,0,165,117,4244,173
-0700:20260611050701.990373,172.16.40.122,0,172.16.40.174,5001,-1,1.0,2.0,117964800,943718400,900,0,0,4123386547980468224,0,0,0
-0700:20260611050702.990373,172.16.40.122,39364,172.16.40.174,5001,3,2.0,3.0,28835840,230686720,220,0,0,229,162,4280,100
-0700:20260611050702.990442,172.16.40.122,39354,172.16.40.174,5001,4,2.0,3.0,29360128,234881024,224,0,0,248,176,4273,121
-0700:20260611050702.990373,172.16.40.122,39332,172.16.40.174,5001,2,2.0,3.0,29229056,233832448,223,0,0,210,149,4293,133
-0700:20260611050702.990374,172.16.40.122,39330,172.16.40.174,5001,1,2.0,3.0,29229056,233832448,223,0,0,199,141,4259,136
-0700:20260611050702.990373,172.16.40.122,0,172.16.40.174,5001,-1,2.0,3.0,116654080,933232640,890,0,0,4123386547980468224,0,0,0
-0700:20260611050703.990373,172.16.40.122,39332,172.16.40.174,5001,2,3.0,4.0,29229056,233832448,223,0,0,210,149,4252,147
-0700:20260611050703.990374,172.16.40.122,39330,172.16.40.174,5001,1,3.0,4.0,29229056,233832448,223,0,0,210,149,4301,117
