pcap,n_packets,patched_mean_ns,patched_stdev,baseline_mean_ns,baseline_stdev,delta_ns,delta_pct,note
p10,20000,75.330,0.127,68.244,0.089,+7.086,+10.38,ok
p25,20000,75.072,0.243,67.862,0.238,+7.210,+10.62,ok
p50,20000,74.452,0.050,67.496,0.181,+6.956,+10.31,ok
p75,20000,73.776,0.054,66.662,0.057,+7.114,+10.67,ok
p90,20000,73.422,0.080,66.502,0.112,+6.920,+10.41,ok
