pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,vxlan,cell-04,2,udp,1,60,vxlan10,192.168.100.2,911.9,0,3.41,19.89,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-04,3,udp,1,60,vxlan10,192.168.100.2,911.9,0,3.38,19.91,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,1,tcp,0,60,lo,10.10.43.5,938.8,0,5.95,17.79,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,2,tcp,0,60,lo,10.10.43.5,938.8,0,5.96,17.77,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,3,tcp,0,60,lo,10.10.43.5,938.8,0,6.14,17.73,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,1,tcp,1,60,lo,10.10.43.5,938.8,0,5.83,17.77,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,2,tcp,1,60,lo,10.10.43.5,938.8,0,5.89,17.69,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,3,tcp,1,60,lo,10.10.43.5,938.8,0,5.70,17.83,1,1,1,1,yes,ok
pi5-pair,mpls,cell-03,1,udp,0,60,lo,10.10.43.5,944.9,0,2.75,14.70,1,1,1,1,yes,ok
pi5-pair,mpls,cell-03,2,udp,0,60,lo,10.10.43.5,944.9,0,2.83,14.70,1,1,1,1,yes,ok
pi5-pair,mpls,cell-03,3,udp,0,60,lo,10.10.43.5,944.9,0,2.83,14.74,1,1,1,1,yes,ok
pi5-pair,mpls,cell-04,1,udp,1,60,lo,10.10.43.5,944.9,0,2.82,14.71,1,1,1,1,yes,ok
pi5-pair,mpls,cell-04,2,udp,1,60,lo,10.10.43.5,944.9,0,2.82,14.71,1,1,1,1,yes,ok
pi5-pair,mpls,cell-04,3,udp,1,60,lo,10.10.43.5,944.9,0,2.89,15.74,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,1,tcp,0,60,ipip0,10.10.42.5,928.4,0,0.89,5.84,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,2,tcp,0,60,ipip0,10.10.42.5,928.4,0,0.82,5.75,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,3,tcp,0,60,ipip0,10.10.42.5,928.4,0,0.84,5.73,1,1,1,1,yes,ok
