1781183341,38.6,1200000,0x0
1781183342,39.2,1200000,0x0
1781183343,39.2,1200000,0x0
1781183344,39.7,1200000,0x0
1781183345,39.2,1200000,0x0
1781183346,39.2,1200000,0x0
1781183347,39.7,1200000,0x0
1781183349,39.7,1200000,0x0
1781183350,39.7,1200000,0x0
1781183351,39.7,1200000,0x0
1781183352,39.7,1200000,0x0
1781183353,39.7,1200000,0x0
1781183354,39.7,1200000,0x0
1781183355,39.7,1200000,0x0
1781183356,39.7,1200000,0x0
1781183357,39.7,1200000,0x0
1781183359,40.2,1200000,0x0
1781183360,39.7,1200000,0x0
1781183361,40.2,1200000,0x0
1781183362,40.8,1200000,0x0
1781183363,39.7,1200000,0x0
1781183364,40.8,1200000,0x0
1781183365,40.8,1200000,0x0
1781183366,40.8,1200000,0x0
1781183367,40.8,1200000,0x0
1781183368,40.2,1200000,0x0
1781183370,40.8,1200000,0x0
1781183371,40.8,1200000,0x0
1781183372,40.8,1200000,0x0
1781183373,40.8,1200000,0x0
1781183374,40.8,1200000,0x0
1781183375,40.8,1200000,0x0
1781183376,40.8,1200000,0x0
1781183377,40.8,1200000,0x0
1781183378,40.8,1200000,0x0
1781183379,40.8,1200000,0x0
1781183381,40.8,1200000,0x0
1781183382,40.8,1200000,0x0
1781183383,40.8,1200000,0x0
1781183384,40.8,1200000,0x0
1781183385,40.8,1200000,0x0
1781183386,41.3,1200000,0x0
1781183387,41.3,1200000,0x0
1781183388,40.8,1200000,0x0
1781183389,40.8,1200000,0x0
1781183391,40.8,1200000,0x0
1781183392,40.8,1200000,0x0
1781183393,40.8,1200000,0x0
1781183394,40.8,1200000,0x0
1781183395,40.8,1200000,0x0
1781183396,40.8,1200000,0x0
1781183397,40.8,1200000,0x0
1781183398,41.3,1200000,0x0
1781183399,40.8,1200000,0x0
1781183400,40.8,1200000,0x0
1781183402,40.8,1200000,0x0
1781183403,41.3,1200000,0x0
1781183404,40.8,1200000,0x0
1781183405,40.8,1200000,0x0
1781183406,40.8,1200000,0x0
1781183407,41.3,1200000,0x0
1781183408,40.8,1200000,0x0
1781183409,40.8,1200000,0x0
1781183410,40.8,1200000,0x0
1781183412,40.8,1200000,0x0
1781183413,41.3,1200000,0x0
1781183414,40.8,1200000,0x0
1781183415,41.9,1200000,0x0
1781183416,40.8,1200000,0x0
1781183417,41.3,1200000,0x0
1781183418,41.3,1200000,0x0
1781183419,40.8,1200000,0x0
1781183420,41.9,1200000,0x0
1781183421,40.8,1200000,0x0
1781183423,40.8,1200000,0x0
1781183424,40.8,1200000,0x0
1781183425,40.8,1200000,0x0
1781183426,41.3,1200000,0x0
1781183427,40.8,1200000,0x0
1781183428,41.3,1200000,0x0
1781183429,41.3,1200000,0x0
1781183430,41.3,1200000,0x0
1781183431,41.3,1200000,0x0
1781183432,41.3,1200000,0x0
1781183434,41.9,1200000,0x0
1781183435,41.9,1200000,0x0
1781183436,41.9,1200000,0x0
1781183437,41.3,1200000,0x0
1781183438,41.9,1200000,0x0
1781183439,41.9,1200000,0x0
1781183440,41.3,1200000,0x0
1781183441,41.3,1200000,0x0
1781183442,41.9,1200000,0x0
1781183444,41.3,1200000,0x0
1781183445,41.3,1200000,0x0
1781183446,41.9,1200000,0x0
1781183447,41.9,1200000,0x0
1781183448,41.3,1200000,0x0
1781183449,41.9,1200000,0x0
1781183450,41.9,1200000,0x0
1781183451,41.3,1200000,0x0
1781183452,41.3,1200000,0x0
1781183453,41.3,1200000,0x0
1781183455,41.3,1200000,0x0
1781183456,41.9,1200000,0x0
1781183457,41.3,1200000,0x0
1781183458,41.3,1200000,0x0
1781183459,40.8,1200000,0x0
1781183460,41.9,1200000,0x0
1781183461,41.3,1200000,0x0
1781183462,41.9,1200000,0x0
1781183463,41.3,1200000,0x0
1781183465,41.9,1200000,0x0
1781183466,40.8,1200000,0x0
1781183467,41.9,1200000,0x0
1781183468,41.9,1200000,0x0
1781183469,41.3,1200000,0x0
1781183470,41.3,1200000,0x0
1781183471,41.9,1200000,0x0
1781183472,41.3,1200000,0x0
1781183473,41.9,1200000,0x0
1781183474,41.3,1200000,0x0
1781183476,41.9,1200000,0x0
1781183477,41.3,1200000,0x0
1781183478,41.9,1200000,0x0
1781183479,41.9,1200000,0x0
1781183480,41.9,1200000,0x0
1781183481,41.9,1200000,0x0
1781183482,41.9,1200000,0x0
1781183483,41.9,1200000,0x0
1781183484,41.9,1200000,0x0
1781183486,41.9,1200000,0x0
1781183487,41.9,1200000,0x0
1781183488,41.9,1200000,0x0
1781183489,41.9,1200000,0x0
1781183490,41.9,1200000,0x0
1781183491,41.9,1200000,0x0
1781183492,41.9,1200000,0x0
1781183493,41.3,1200000,0x0
1781183494,41.9,1200000,0x0
1781183495,41.9,1200000,0x0
1781183497,41.9,1200000,0x0
1781183498,41.3,1200000,0x0
1781183499,41.9,1200000,0x0
1781183500,41.9,1200000,0x0
1781183501,41.9,1200000,0x0
1781183502,41.9,1200000,0x0
1781183503,41.9,1200000,0x0
1781183504,41.3,1200000,0x0
