Linux 7.0.0 (hp5) 	06/18/2026 	_x86_64_	(8 CPU)

07:56:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:19 PM  all    0.87    0.00   13.82    0.00    0.25    6.23    0.00    0.00    0.00   78.83
07:56:19 PM    0    4.00    0.00   55.00    0.00    1.00   18.00    0.00    0.00    0.00   22.00
07:56:19 PM    1    3.03    0.00   56.57    0.00    1.01   17.17    0.00    0.00    0.00   22.22
07:56:19 PM    2    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
07:56:19 PM    3    0.00    0.00    0.00    0.00    0.00    4.95    0.00    0.00    0.00   95.05
07:56:19 PM    4    0.00    0.00    0.00    0.00    0.00    4.95    0.00    0.00    0.00   95.05
07:56:19 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:19 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:19 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:56:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:20 PM  all    1.37    0.00   17.83    0.00    0.12    8.23    0.00    0.00    0.00   72.44
07:56:20 PM    0    5.94    0.00   70.30    0.00    0.00   22.77    0.00    0.00    0.00    0.99
07:56:20 PM    1    5.00    0.00   72.00    0.00    0.00   23.00    0.00    0.00    0.00    0.00
07:56:20 PM    2    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
07:56:20 PM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
07:56:20 PM    4    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
07:56:20 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:20 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:20 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:56:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:21 PM  all    1.26    0.00   17.71    0.00    0.13    8.29    0.00    0.00    0.00   72.61
07:56:21 PM    0    5.10    0.00   71.43    0.00    0.00   23.47    0.00    0.00    0.00    0.00
07:56:21 PM    1    5.05    0.00   71.72    0.00    0.00   23.23    0.00    0.00    0.00    0.00
07:56:21 PM    2    0.00    0.00    0.00    0.00    1.00    8.00    0.00    0.00    0.00   91.00
07:56:21 PM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
07:56:21 PM    4    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
07:56:21 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
