time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260612010255.786342,172.16.40.122,51240,172.16.40.174,5001,1,0.0,1.0,30015552,240124416,230,0,0,192,136,4283,121
-0700:20260612010255.786415,172.16.40.122,51244,172.16.40.174,5001,4,0.0,1.0,30015552,240124416,230,0,0,179,127,4307,152
-0700:20260612010255.786342,172.16.40.122,51242,172.16.40.174,5001,2,0.0,1.0,30277696,242221568,232,0,0,205,145,4234,164
-0700:20260612010255.786342,172.16.40.122,51238,172.16.40.174,5001,3,0.0,1.0,30539840,244318720,234,0,0,209,148,4287,163
-0700:20260612010255.786342,172.16.40.122,0,172.16.40.174,5001,-1,0.0,1.0,120848640,966789120,926,0,0,4048793462949019648,0,0,0
-0700:20260612010256.786342,172.16.40.122,51240,172.16.40.174,5001,1,1.0,2.0,29229056,233832448,223,0,0,192,136,4246,134
-0700:20260612010256.786415,172.16.40.122,51244,172.16.40.174,5001,4,1.0,2.0,29229056,233832448,223,0,0,179,127,4337,133
-0700:20260612010256.786342,172.16.40.122,51242,172.16.40.174,5001,2,1.0,2.0,29229056,233832448,223,0,0,205,145,4270,154
-0700:20260612010256.786342,172.16.40.122,51238,172.16.40.174,5001,3,1.0,2.0,29097984,232783872,222,0,0,222,157,4264,149
-0700:20260612010256.786342,172.16.40.122,0,172.16.40.174,5001,-1,1.0,2.0,116785152,934281216,891,0,0,4048793462949019648,0,0,0
-0700:20260612010257.786342,172.16.40.122,51238,172.16.40.174,5001,3,2.0,3.0,29097984,232783872,222,0,0,233,165,4292,130
-0700:20260612010257.786342,172.16.40.122,51242,172.16.40.174,5001,2,2.0,3.0,29229056,233832448,223,0,0,205,145,4285,140
-0700:20260612010257.786342,172.16.40.122,51240,172.16.40.174,5001,1,2.0,3.0,29360128,234881024,224,0,0,192,136,4267,140
-0700:20260612010257.786415,172.16.40.122,51244,172.16.40.174,5001,4,2.0,3.0,29360128,234881024,224,0,0,179,127,4262,140
-0700:20260612010257.786342,172.16.40.122,0,172.16.40.174,5001,-1,2.0,3.0,117047296,936378368,893,0,0,4048793462949019648,0,0,0
-0700:20260612010258.786342,172.16.40.122,51242,172.16.40.174,5001,2,3.0,4.0,29360128,234881024,224,0,0,217,154,4284,141
-0700:20260612010258.786342,172.16.40.122,51240,172.16.40.174,5001,1,3.0,4.0,29491200,235929600,225,0,0,192,136,4277,118
-0700:20260612010258.786342,172.16.40.122,51238,172.16.40.174,5001,3,3.0,4.0,29753344,238026752,227,0,0,246,174,4268,131
-0700:20260612010258.786415,172.16.40.122,51244,172.16.40.174,5001,4,3.0,4.0,29360128,234881024,224,0,0,179,127,4288,151
-0700:20260612010258.786342,172.16.40.122,0,172.16.40.174,5001,-1,3.0,4.0,117964800,943718400,900,0,0,4048793462949019648,0,0,0
-0700:20260612010259.786342,172.16.40.122,51242,172.16.40.174,5001,2,4.0,5.0,29097984,232783872,222,0,0,229,162,4251,122
-0700:20260612010259.786342,172.16.40.122,51240,172.16.40.174,5001,1,4.0,5.0,29097984,232783872,222,0,0,203,144,4275,136
-0700:20260612010259.786415,172.16.40.122,51244,172.16.40.174,5001,4,4.0,5.0,29360128,234881024,224,0,0,179,127,4308,139
-0700:20260612010259.786342,172.16.40.122,51238,172.16.40.174,5001,3,4.0,5.0,29229056,233832448,223,0,0,246,174,4260,117
-0700:20260612010259.786342,172.16.40.122,0,172.16.40.174,5001,-1,4.0,5.0,116785152,934281216,891,0,0,4048793462949019648,0,0,0
-0700:20260612010300.786342,172.16.40.122,51240,172.16.40.174,5001,1,5.0,6.0,29229056,233832448,223,0,0,203,144,4277,119
-0700:20260612010300.786342,172.16.40.122,51242,172.16.40.174,5001,2,5.0,6.0,29491200,235929600,225,0,0,268,190,4262,140
-0700:20260612010300.786342,172.16.40.122,51238,172.16.40.174,5001,3,5.0,6.0,29097984,232783872,222,0,0,246,174,4303,110
-0700:20260612010300.786415,172.16.40.122,51244,172.16.40.174,5001,4,5.0,6.0,29360128,234881024,224,0,0,179,127,4306,145
-0700:20260612010300.786342,172.16.40.122,0,172.16.40.174,5001,-1,5.0,6.0,117178368,937426944,894,0,0,4048793462949019648,0,0,0
-0700:20260612010301.786342,172.16.40.122,51240,172.16.40.174,5001,1,6.0,7.0,29229056,233832448,223,0,0,203,144,4291,106
-0700:20260612010301.786342,172.16.40.122,51242,172.16.40.174,5001,2,6.0,7.0,29491200,235929600,225,0,0,268,190,4445,281
-0700:20260612010301.786342,172.16.40.122,51238,172.16.40.174,5001,3,6.0,7.0,29360128,234881024,224,0,0,246,174,4240,140
-0700:20260612010301.786415,172.16.40.122,51244,172.16.40.174,5001,4,6.0,7.0,29229056,233832448,223,0,0,179,127,4297,154
-0700:20260612010301.786342,172.16.40.122,0,172.16.40.174,5001,-1,6.0,7.0,117309440,938475520,895,0,0,4048793462949019648,0,0,0
-0700:20260612010302.786342,172.16.40.122,51240,172.16.40.174,5001,1,7.0,8.0,29622272,236978176,226,0,0,203,144,4244,139
-0700:20260612010302.786415,172.16.40.122,51244,172.16.40.174,5001,4,7.0,8.0,28966912,231735296,221,0,0,179,127,4303,156
-0700:20260612010302.786342,172.16.40.122,51242,172.16.40.174,5001,2,7.0,8.0,29229056,233832448,223,0,0,268,190,4239,176
-0700:20260612010302.786342,172.16.40.122,51238,172.16.40.174,5001,3,7.0,8.0,29360128,234881024,224,0,0,246,174,4251,111
-0700:20260612010302.786342,172.16.40.122,0,172.16.40.174,5001,-1,7.0,8.0,117178368,937426944,894,0,0,4048793462949019648,0,0,0
-0700:20260612010303.786342,172.16.40.122,51240,172.16.40.174,5001,1,8.0,9.0,29229056,233832448,223,0,0,203,144,4272,113
-0700:20260612010303.786415,172.16.40.122,51244,172.16.40.174,5001,4,8.0,9.0,29360128,234881024,224,0,0,179,127,4312,135
-0700:20260612010303.786342,172.16.40.122,51242,172.16.40.174,5001,2,8.0,9.0,29360128,234881024,224,0,0,268,190,4327,148
-0700:20260612010303.786342,172.16.40.122,51238,172.16.40.174,5001,3,8.0,9.0,29229056,233832448,223,0,0,246,174,4292,113
-0700:20260612010303.786342,172.16.40.122,0,172.16.40.174,5001,-1,8.0,9.0,117178368,937426944,894,0,0,4048793462949019648,0,0,0
-0700:20260612010304.786342,172.16.40.122,51242,172.16.40.174,5001,2,9.0,10.0,28835840,230686720,220,0,0,268,190,4294,144
