pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,mpls,cell-02,3,1,30,64,2,lo,f8:f2:1e:38:ab:80,4235786,1379850,266868744491,279282651279,48684311177,110539979,6446.80,6746.69,2.6703,12.58,18.96,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-01,1,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4271697,1393892,263311195887,276801586262,48223352132,108875333,6296.78,6619.39,2.6036,12.55,18.34,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-01,2,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4234960,1360281,272890682474,282160506021,49265249630,113402198,6687.11,6914.27,2.7789,12.54,19.58,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-01,3,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4203753,1384938,264270046328,278098052826,48449192495,108895086,6360.57,6693.39,2.6209,12.56,18.65,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-02,1,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4268390,1387848,264422170372,277184142919,48289304435,108566267,6350.89,6657.41,2.6075,12.53,18.42,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-02,2,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4212203,1377677,270508641310,282205191930,49228642547,111516439,6545.04,6828.04,2.6982,12.55,19.32,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-02,3,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4246269,1392720,264491170612,277829274943,48397979159,106237456,6330.33,6649.56,2.5427,12.54,18.49,1,1,0,0,yes,ok
hp2-hp5,gre,cell-01,1,0,30,64,2,gretest0,f8:f2:1e:38:ab:80,4281633,1350041,267477076318,276569503459,48233099199,104252455,6604.17,6828.67,2.5741,12.57,19.19,1,1,0,0,yes,ok
hp2-hp5,gre,cell-01,2,0,30,64,2,gretest0,f8:f2:1e:38:ab:80,4215678,1394210,262591206506,276281752139,48082906330,106995981,6278.14,6605.45,2.5581,12.58,18.52,1,1,0,0,yes,ok
hp2-hp5,gre,cell-01,3,0,30,64,2,gretest0,f8:f2:1e:38:ab:80,4232376,1347515,276640703373,282429324562,49330782548,111776743,6843.23,6986.42,2.7650,12.57,20.13,1,1,0,0,yes,ok
hp2-hp5,gre,cell-02,1,1,30,64,2,gretest0,f8:f2:1e:38:ab:80,4236150,1341826,274528360853,280944099310,49061206557,112737509,6819.77,6979.14,2.8006,12.57,19.77,1,1,0,0,yes,ok
hp2-hp5,gre,cell-02,2,1,30,64,2,gretest0,f8:f2:1e:38:ab:80,4205904,1348067,274813880670,282637717337,49361642215,110546696,6795.26,6988.72,2.7335,12.54,19.78,1,1,0,0,yes,ok
hp2-hp5,gre,cell-02,3,1,30,64,2,gretest0,f8:f2:1e:38:ab:80,4284911,1403490,262004636503,276659327885,48149256307,107983369,6222.69,6570.74,2.5646,12.54,18.26,1,1,0,0,yes,ok
hp2-hp5,vxlan,cell-01,1,0,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1862045,1140676,222518,5645,124136.33,76045.07,376.3333,0.02,0.01,1,1,0,0,yes,overlay-unsupported
hp2-hp5,vxlan,cell-01,2,0,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,880232,611627,123936,2682,440116.00,305813.50,1341.0000,0.02,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,vxlan,cell-01,3,0,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,666367,576877,114220,2396,0,0,0,0.02,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,1,1,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1246062,979531,194866,4424,415354.00,326510.33,1474.6667,0.03,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,2,1,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,770763,526459,103929,2202,770763.00,526459.00,2202.0000,0.01,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,3,1,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,591568,512862,102541,2385,591568.00,512862.00,2385.0000,0.02,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,geneve,cell-01,1,0,30,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,1315806,950029,189129,4573,93986.14,67859.21,326.6429,0.03,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,geneve,cell-01,2,0,30,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,944088,704965,139921,3357,314696.00,234988.33,1119.0000,0.02,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,geneve,cell-01,3,0,30,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,942961,757583,148475,3372,0,0,0,0.02,0.01,1,1,0,0,yes,overlay-unsupported
hp2-hp5,geneve,cell-02,1,1,30,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,660940,476188,95749,1942,220313.33,158729.33,647.3333,0.01,0.00,1,1,0,0,yes,overlay-unsupported
hp2-hp5,geneve,cell-02,2,1,30,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,960855,622966,123591,2991,0,0,0,0.02,0.01,1,1,0,0,yes,overlay-unsupported
hp2-hp5,geneve,cell-02,3,1,30,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,606460,463843,89167,1958,303230.00,231921.50,979.0000,0.01,0.00,1,1,0,0,yes,overlay-unsupported
