pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp1-hp3,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,6936.2,0,10.58,13.38,1,1,1,1,yes,ok
hp1-hp3,gre,cell-01,tcp,0,60,gretest0,10.10.44.5,10877.4,583,11.45,14.29,1,1,1,1,yes,ok
hp1-hp3,gre,cell-02,tcp,1,60,gretest0,10.10.44.5,11006.9,523,11.38,14.98,1,1,1,1,yes,ok
hp1-hp3,gre,cell-03,udp,0,60,gretest0,10.10.44.5,6720.7,0,10.65,13.35,1,1,1,1,yes,ok
hp1-hp3,gre,cell-04,udp,1,60,gretest0,10.10.44.5,7050.6,0,10.43,13.58,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-01,tcp,0,60,geneve10,192.168.101.2,14717.9,9927,7.91,23.76,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-02,tcp,1,60,geneve10,192.168.101.2,13047.8,7558,8.79,21.49,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-03,udp,0,60,geneve10,192.168.101.2,6275.2,0,9.85,14.27,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-04,udp,1,60,geneve10,192.168.101.2,6245.3,0,9.80,14.30,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,9388.2,3353,14.61,11.12,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,9383.7,10929,14.59,11.07,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,7063.8,0,15.12,9.01,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,7099.3,0,15.22,8.94,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,9187.8,13605,9.65,17.65,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,9310.1,10042,9.54,17.10,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,5844.8,0,14.26,9.91,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,5880.6,0,14.04,10.06,1,1,1,1,yes,ok
hp2-hp5,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,9084.4,6489,11.57,14.33,1,1,1,1,yes,ok
hp2-hp5,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,9081.4,11411,11.52,14.34,1,1,1,1,yes,ok
hp2-hp5,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,5970.7,0,9.93,14.74,1,1,1,1,yes,ok
hp2-hp5,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,5990.3,0,9.67,14.94,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-01,tcp,0,60,lo,10.10.43.5,9362.9,47759,8.80,15.19,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,tcp,1,60,lo,10.10.43.5,9369.8,37507,8.52,15.10,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-03,udp,0,60,lo,10.10.43.5,6589.8,0,4.90,12.19,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-04,udp,1,60,lo,10.10.43.5,6561.5,0,4.80,10.89,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,tcp,0,60,ipip0,10.10.42.5,9272.8,3186,12.98,13.93,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,tcp,1,60,ipip0,10.10.42.5,9273.1,4588,13.75,13.66,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-03,udp,0,60,ipip0,10.10.42.5,7069.9,0,10.53,14.24,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,7109.9,0,10.28,14.51,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,tcp,0,60,gretest0,10.10.44.5,9243.0,3819,12.79,14.12,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,tcp,1,60,gretest0,10.10.44.5,9242.7,2690,12.57,14.29,1,1,1,1,yes,ok
hp2-hp5,gre,cell-03,udp,0,60,gretest0,10.10.44.5,7049.5,0,10.26,14.72,1,1,1,1,yes,ok
hp2-hp5,gre,cell-04,udp,1,60,gretest0,10.10.44.5,7017.6,0,10.24,14.65,1,1,1,1,yes,ok
hp2-hp5,geneve,cell-01,tcp,0,60,geneve10,192.168.101.2,9085.3,7951,11.96,13.88,1,1,1,1,yes,ok
hp2-hp5,geneve,cell-02,tcp,1,60,geneve10,192.168.101.2,9085.0,6716,11.96,13.83,1,1,1,1,yes,ok
hp2-hp5,geneve,cell-03,udp,0,60,geneve10,192.168.101.2,6120.9,0,9.91,14.85,1,1,1,1,yes,ok
hp2-hp5,geneve,cell-04,udp,1,60,geneve10,192.168.101.2,6160.9,0,9.77,14.90,1,1,1,1,yes,ok
