pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
l-l2,vxlan,cell-02,1,tcp,1,60,vxlan10,192.168.100.2,11518.0,2570,6.67,6.62,1,1,1,1,yes,ok
l-l2,vxlan,cell-02,2,tcp,1,60,vxlan10,192.168.100.2,15135.7,949,6.27,8.32,1,1,1,1,yes,ok
l-l2,vxlan,cell-02,3,tcp,1,60,vxlan10,192.168.100.2,11597.4,2273,6.49,6.74,1,1,1,1,yes,ok
l-l2,vxlan,cell-03,1,udp,0,60,vxlan10,192.168.100.2,4700.1,0,11.83,4.31,1,1,1,1,yes,ok
l-l2,vxlan,cell-03,2,udp,0,60,vxlan10,192.168.100.2,4865.0,0,11.68,4.48,1,1,1,1,yes,ok
l-l2,vxlan,cell-03,3,udp,0,60,vxlan10,192.168.100.2,4719.6,0,11.77,4.37,1,1,1,1,yes,ok
l-l2,vxlan,cell-04,1,udp,1,60,vxlan10,192.168.100.2,4775.7,0,11.76,4.37,1,1,1,1,yes,ok
l-l2,vxlan,cell-04,2,udp,1,60,vxlan10,192.168.100.2,4717.6,0,11.33,4.72,1,1,1,1,yes,ok
l-l2,vxlan,cell-04,3,udp,1,60,vxlan10,192.168.100.2,4731.8,0,11.79,4.35,1,1,1,1,yes,ok
l-l2,mpls,cell-01,1,tcp,0,60,lo,10.10.43.5,10688.8,11221,2.55,7.33,1,1,1,1,yes,ok
l-l2,mpls,cell-01,2,tcp,0,60,lo,10.10.43.5,10034.4,8033,2.59,6.79,1,1,1,1,yes,ok
l-l2,mpls,cell-01,3,tcp,0,60,lo,10.10.43.5,9811.8,5490,2.69,6.51,1,1,1,1,yes,ok
l-l2,mpls,cell-02,1,tcp,1,60,lo,10.10.43.5,10624.6,7933,2.54,6.85,1,1,1,1,yes,ok
l-l2,mpls,cell-02,2,tcp,1,60,lo,10.10.43.5,10108.6,7881,2.66,7.13,1,1,1,1,yes,ok
l-l2,mpls,cell-02,3,tcp,1,60,lo,10.10.43.5,12332.5,15640,2.77,8.20,1,1,1,1,yes,ok
l-l2,mpls,cell-03,1,udp,0,60,lo,10.10.43.5,6452.8,0,1.93,4.60,1,1,1,1,yes,ok
l-l2,mpls,cell-03,2,udp,0,60,lo,10.10.43.5,6240.2,0,1.29,3.91,1,1,1,1,yes,ok
l-l2,mpls,cell-03,3,udp,0,60,lo,10.10.43.5,6151.0,0,1.26,3.53,1,1,1,1,yes,ok
l-l2,mpls,cell-04,1,udp,1,60,lo,10.10.43.5,6211.1,0,1.38,3.68,1,1,1,1,yes,ok
l-l2,mpls,cell-04,2,udp,1,60,lo,10.10.43.5,6288.7,0,1.35,3.91,1,1,1,1,yes,ok
l-l2,mpls,cell-04,3,udp,1,60,lo,10.10.43.5,6382.8,0,1.40,4.31,1,1,1,1,yes,ok
l-l2,ipip,cell-01,1,tcp,0,60,ipip0,10.10.42.5,8212.3,131,8.46,6.17,1,1,1,1,yes,ok
l-l2,ipip,cell-01,2,tcp,0,60,ipip0,10.10.42.5,8252.7,89,8.02,6.03,1,1,1,1,yes,ok
l-l2,ipip,cell-01,3,tcp,0,60,ipip0,10.10.42.5,8672.8,73,8.39,6.40,1,1,1,1,yes,ok
l-l2,ipip,cell-02,1,tcp,1,60,ipip0,10.10.42.5,8809.1,15,8.83,6.94,1,1,1,1,yes,ok
l-l2,ipip,cell-02,2,tcp,1,60,ipip0,10.10.42.5,8720.5,46,8.83,6.52,1,1,1,1,yes,ok
l-l2,ipip,cell-02,3,tcp,1,60,ipip0,10.10.42.5,8550.9,43,8.53,6.11,1,1,1,1,yes,ok
