############ PART 1 — address-family matrix (flows=2000, pkts=10000) ############

###### vxlan-kernelsport-inipv4-outipv4 ######
== OUTER-only (today) ==  packets=10000  distinct-hashes=1878 (flow-identity resolution)
     N   occupied   max/mean    chi2    entropy
# recognised (the open per-netns port-config question), NOT current patch output.

###### vxlan-fixedsport-cilium8472 ######
  OUTER-only (today)       distinct=1       imbalance@64=64.00x
  INNER-descent (patch)    distinct=1983    imbalance@64=1.50x

###### vxlan-kernelsport-cilium8472 ######
  OUTER-only (today)       distinct=1878    imbalance@64=1.56x
  INNER-descent (patch)    distinct=1991    imbalance@64=1.41x

DONE
