time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260611040506.240500,172.16.40.122,0,172.16.40.174,5001,-1,7.0,8.0,117702656,941621248,898,0,0,4120854346931896320,0,0,0
-0700:20260611040507.240500,172.16.40.122,41332,172.16.40.174,5001,4,8.0,9.0,29229056,233832448,223,0,0,200,142,4326,152
-0700:20260611040507.240501,172.16.40.122,41334,172.16.40.174,5001,1,8.0,9.0,29229056,233832448,223,0,0,216,153,4296,142
-0700:20260611040507.240586,172.16.40.122,41330,172.16.40.174,5001,3,8.0,9.0,28704768,229638144,219,0,0,332,235,4271,133
-0700:20260611040507.240500,172.16.40.122,41336,172.16.40.174,5001,2,8.0,9.0,29491200,235929600,225,0,0,224,159,4235,151
-0700:20260611040507.240500,172.16.40.122,0,172.16.40.174,5001,-1,8.0,9.0,116654080,933232640,890,0,0,4120854346931896320,0,0,0
-0700:20260611040508.240500,172.16.40.122,41332,172.16.40.174,5001,4,9.0,10.0,29097984,232783872,222,0,0,200,142,4293,144
-0700:20260611040508.240501,172.16.40.122,41334,172.16.40.174,5001,1,9.0,10.0,29097984,232783872,222,0,0,216,153,4333,143
-0700:20260611040508.240500,172.16.40.122,41336,172.16.40.174,5001,2,9.0,10.0,28835840,230686720,220,0,0,224,159,4270,135
-0700:20260611040508.240586,172.16.40.122,41330,172.16.40.174,5001,3,9.0,10.0,29491200,235929600,225,0,0,332,235,4278,116
-0700:20260611040508.240500,172.16.40.122,0,172.16.40.174,5001,-1,9.0,10.0,116523008,932184064,889,0,0,4120854346931896320,0,0,0
-0700:20260611040509.240501,172.16.40.122,41334,172.16.40.174,5001,1,10.0,11.0,29229056,233832448,223,0,0,216,153,4300,141
-0700:20260611040509.240500,172.16.40.122,41332,172.16.40.174,5001,4,10.0,11.0,29753344,238026752,227,0,0,200,142,4309,133
-0700:20260611040509.240500,172.16.40.122,41336,172.16.40.174,5001,2,10.0,11.0,29360128,234881024,224,0,0,224,159,4260,113
-0700:20260611040509.240586,172.16.40.122,41330,172.16.40.174,5001,3,10.0,11.0,29360128,234881024,224,0,0,332,235,4251,143
-0700:20260611040509.240500,172.16.40.122,0,172.16.40.174,5001,-1,10.0,11.0,117702656,941621248,898,0,0,4120854346931896320,0,0,0
-0700:20260611040510.240500,172.16.40.122,41332,172.16.40.174,5001,4,11.0,12.0,29097984,232783872,222,0,0,200,142,4327,130
-0700:20260611040510.240501,172.16.40.122,41334,172.16.40.174,5001,1,11.0,12.0,29622272,236978176,226,0,0,216,153,4305,146
-0700:20260611040510.240500,172.16.40.122,41336,172.16.40.174,5001,2,11.0,12.0,29360128,234881024,224,0,0,224,159,4252,146
-0700:20260611040510.240586,172.16.40.122,41330,172.16.40.174,5001,3,11.0,12.0,29491200,235929600,225,0,0,332,235,4260,143
-0700:20260611040510.240500,172.16.40.122,0,172.16.40.174,5001,-1,11.0,12.0,117571584,940572672,897,0,0,4120854346931896320,0,0,0
-0700:20260611040511.240500,172.16.40.122,41332,172.16.40.174,5001,4,12.0,13.0,29229056,233832448,223,0,0,200,142,4274,160
-0700:20260611040511.240501,172.16.40.122,41334,172.16.40.174,5001,1,12.0,13.0,29229056,233832448,223,0,0,216,153,4341,141
-0700:20260611040511.240500,172.16.40.122,41336,172.16.40.174,5001,2,12.0,13.0,29360128,234881024,224,0,0,224,159,4263,154
-0700:20260611040511.240586,172.16.40.122,41330,172.16.40.174,5001,3,12.0,13.0,29360128,234881024,224,0,0,332,235,4290,137
-0700:20260611040511.240500,172.16.40.122,0,172.16.40.174,5001,-1,12.0,13.0,117178368,937426944,894,0,0,4120854346931896320,0,0,0
-0700:20260611040512.240586,172.16.40.122,41330,172.16.40.174,5001,3,13.0,14.0,28573696,228589568,218,0,0,332,235,4221,151
-0700:20260611040512.240500,172.16.40.122,41332,172.16.40.174,5001,4,13.0,14.0,29229056,233832448,223,0,0,200,142,4283,147
-0700:20260611040512.240501,172.16.40.122,41334,172.16.40.174,5001,1,13.0,14.0,29229056,233832448,223,0,0,216,153,4292,129
-0700:20260611040512.240500,172.16.40.122,41336,172.16.40.174,5001,2,13.0,14.0,29360128,234881024,224,0,0,224,159,4282,121
-0700:20260611040512.240500,172.16.40.122,0,172.16.40.174,5001,-1,13.0,14.0,116391936,931135488,888,0,0,4120854346931896320,0,0,0
-0700:20260611040513.240500,172.16.40.122,41332,172.16.40.174,5001,4,14.0,15.0,29622272,236978176,226,0,0,318,225,4266,120
-0700:20260611040513.240501,172.16.40.122,41334,172.16.40.174,5001,1,14.0,15.0,29229056,233832448,223,0,0,216,153,4284,151
-0700:20260611040513.240500,172.16.40.122,41336,172.16.40.174,5001,2,14.0,15.0,28835840,230686720,220,0,0,224,159,4221,161
-0700:20260611040513.240586,172.16.40.122,41330,172.16.40.174,5001,3,14.0,15.0,29491200,235929600,225,0,0,332,235,4258,139
-0700:20260611040513.240500,172.16.40.122,0,172.16.40.174,5001,-1,14.0,15.0,117178368,937426944,894,0,0,4120854346931896320,0,0,0
-0700:20260611040514.240501,172.16.40.122,41334,172.16.40.174,5001,1,15.0,16.0,29229056,233832448,223,0,0,216,153,4312,149
-0700:20260611040514.240500,172.16.40.122,41336,172.16.40.174,5001,2,15.0,16.0,29360128,234881024,224,0,0,224,159,4261,135
-0700:20260611040514.240500,172.16.40.122,41332,172.16.40.174,5001,4,15.0,16.0,29753344,238026752,227,0,0,318,225,4289,114
-0700:20260611040514.240586,172.16.40.122,41330,172.16.40.174,5001,3,15.0,16.0,29491200,235929600,225,0,0,332,235,4586,452
-0700:20260611040514.240500,172.16.40.122,0,172.16.40.174,5001,-1,15.0,16.0,117833728,942669824,899,0,0,4120854346931896320,0,0,0
-0700:20260611040515.240501,172.16.40.122,41334,172.16.40.174,5001,1,16.0,17.0,29097984,232783872,222,0,0,216,153,4308,138
-0700:20260611040515.240500,172.16.40.122,41332,172.16.40.174,5001,4,16.0,17.0,28966912,231735296,221,0,0,318,225,4269,134
-0700:20260611040515.240500,172.16.40.122,41336,172.16.40.174,5001,2,16.0,17.0,29360128,234881024,224,0,0,224,159,4261,122
-0700:20260611040515.240586,172.16.40.122,41330,172.16.40.174,5001,3,16.0,17.0,29360128,234881024,224,0,0,332,235,4267,111
-0700:20260611040515.240500,172.16.40.122,0,172.16.40.174,5001,-1,16.0,17.0,116785152,934281216,891,0,0,4120854346931896320,0,0,0
-0700:20260611040516.240501,172.16.40.122,41334,172.16.40.174,5001,1,17.0,18.0,29229056,233832448,223,0,0,216,153,4296,148
-0700:20260611040516.240500,172.16.40.122,41332,172.16.40.174,5001,4,17.0,18.0,29360128,234881024,224,0,0,318,225,4266,92
-0700:20260611040516.240500,172.16.40.122,41336,172.16.40.174,5001,2,17.0,18.0,29491200,235929600,225,0,0,224,159,4280,137
-0700:20260611040516.240586,172.16.40.122,41330,172.16.40.174,5001,3,17.0,18.0,29360128,234881024,224,0,0,332,235,4250,143
-0700:20260611040516.240500,172.16.40.122,0,172.16.40.174,5001,-1,17.0,18.0,117440512,939524096,896,0,0,4120854346931896320,0,0,0
-0700:20260611040517.240500,172.16.40.122,41332,172.16.40.174,5001,4,18.0,19.0,28966912,231735296,221,0,0,318,225,4367,129
-0700:20260611040517.240501,172.16.40.122,41334,172.16.40.174,5001,1,18.0,19.0,29622272,236978176,226,0,0,216,153,4323,139
-0700:20260611040517.240500,172.16.40.122,41336,172.16.40.174,5001,2,18.0,19.0,28966912,231735296,221,0,0,224,159,4314,141
-0700:20260611040517.240586,172.16.40.122,41330,172.16.40.174,5001,3,18.0,19.0,28835840,230686720,220,0,0,332,235,4309,132
-0700:20260611040517.240500,172.16.40.122,0,172.16.40.174,5001,-1,18.0,19.0,116391936,931135488,888,0,0,4120854346931896320,0,0,0
-0700:20260611040518.240501,172.16.40.122,41334,172.16.40.174,5001,1,19.0,20.0,29229056,233832448,223,0,0,216,153,4315,141
-0700:20260611040518.240500,172.16.40.122,41332,172.16.40.174,5001,4,19.0,20.0,29622272,236978176,226,0,0,318,225,4230,148
-0700:20260611040518.240500,172.16.40.122,41336,172.16.40.174,5001,2,19.0,20.0,29360128,234881024,224,0,0,224,159,4301,125
-0700:20260611040518.240586,172.16.40.122,41330,172.16.40.174,5001,3,19.0,20.0,29360128,234881024,224,0,0,332,235,4223,153
