pcap,n_packets,patched_mean_ns,patched_stdev,baseline_mean_ns,baseline_stdev,delta_ns,delta_pct,note
p10,20000,14.168,0.013,13.232,0.077,+0.936,+7.07,ok
p25,20000,13.976,0.025,13.092,0.094,+0.884,+6.75,ok
p50,20000,13.584,0.005,12.856,0.148,+0.728,+5.66,ok
p75,20000,13.190,0.000,12.492,0.149,+0.698,+5.59,ok
p90,20000,12.984,0.021,12.194,0.176,+0.790,+6.48,ok
